2026-02-08 22:22:12 | INFO | main:startup_event |  AnalytixAI Backend Started Successfully
2026-02-08 22:22:13 | INFO | main:startup_event |  AnalytixAI Backend Started Successfully
2026-02-08 22:22:24 | INFO | main:startup_event |  AnalytixAI Backend Started Successfully
2026-02-08 22:25:10 | INFO | dataset_service:run_understanding | Starting data understanding for file: c5fca5c7-953f-465b-b1bd-598633af943a
2026-02-08 22:27:19 | INFO | dataset_service:run_understanding | Starting data understanding for file: 8fafe7a5-e86b-4c4e-a9c7-0e5b7e524c69
2026-02-08 22:27:40 | INFO | dataset_service:run_understanding | Starting data understanding for file: 5874f6ea-c0b6-444a-87d1-31b42791ee39
2026-02-08 22:39:15 | INFO | dataset_service:run_understanding | Starting data understanding for file: 83b721d0-2066-4c81-8de1-09cc1c6bc806
2026-02-08 22:56:14 | INFO | main:startup_event |  AnalytixAI Backend Started Successfully
2026-02-08 22:56:14 | INFO | main:startup_event |  AnalytixAI Backend Started Successfully
2026-02-08 22:56:16 | INFO | main:startup_event |  AnalytixAI Backend Started Successfully
2026-02-08 22:59:18 | INFO | dataset_service:run_understanding | Starting data understanding for file: 4a0c5cf1-eb86-47af-b3ce-a139f05685e3
2026-02-08 22:59:29 | INFO | pipeline_controller:run_all | Pipeline Controller: Running ALL for 4a0c5cf1-eb86-47af-b3ce-a139f05685e3 in fast mode
2026-02-08 22:59:29 | INFO | pipeline_controller:run_all | Skipping data_understanding (already completed)
2026-02-08 22:59:29 | INFO | pipeline_controller:run_all | Executing data_cleaning...
2026-02-08 22:59:29 | INFO | pipeline_controller:run_step | Pipeline Controller: Starting step data_cleaning for 4a0c5cf1-eb86-47af-b3ce-a139f05685e3
2026-02-08 22:59:29 | INFO | cleaning_service:run_cleaning | Starting cleaning pipeline for dataset 4a0c5cf1-eb86-47af-b3ce-a139f05685e3. Task: regression
2026-02-08 22:59:29 | INFO | pipeline_controller:run_all | Executing eda...
2026-02-08 22:59:29 | INFO | pipeline_controller:run_step | Pipeline Controller: Starting step eda for 4a0c5cf1-eb86-47af-b3ce-a139f05685e3
2026-02-08 22:59:30 | INFO | pipeline_controller:run_all | Executing statistics...
2026-02-08 22:59:30 | INFO | pipeline_controller:run_step | Pipeline Controller: Starting step statistics for 4a0c5cf1-eb86-47af-b3ce-a139f05685e3
2026-02-08 22:59:30 | ERROR | pipeline_controller:run_step | Pipeline Step statistics Failed: name 'settings' is not defined
Traceback (most recent call last):
  File "R:\2026\Project\AnalytixAI\app\services\pipeline_controller.py", line 74, in run_step
    data = self.stats_service.run_stats(self.dataset_id)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "R:\2026\Project\AnalytixAI\app\services\stats_service.py", line 18, in run_stats
    train_path = os.path.join(settings.DATASET_DIR, f"{file_id}_train.csv")
                              ^^^^^^^^
NameError: name 'settings' is not defined
2026-02-08 22:59:30 | ERROR | pipeline_controller:run_all | Pipeline stopped at statistics due to error: name 'settings' is not defined
2026-02-08 23:08:47 | INFO | main:startup_event |  AnalytixAI Backend Started Successfully
2026-02-08 23:08:47 | INFO | main:startup_event |  AnalytixAI Backend Started Successfully
2026-02-08 23:08:48 | INFO | main:startup_event |  AnalytixAI Backend Started Successfully
2026-02-08 23:13:21 | INFO | dataset_service:run_understanding | Starting data understanding for file: 983e8da0-d48d-490f-85c2-1b5837992f1e
2026-02-08 23:13:31 | INFO | pipeline_controller:run_all | Pipeline Controller: Running ALL for 983e8da0-d48d-490f-85c2-1b5837992f1e in fast mode
2026-02-08 23:13:31 | INFO | pipeline_controller:run_all | Skipping data_understanding (already completed)
2026-02-08 23:13:31 | INFO | pipeline_controller:run_all | Executing data_cleaning...
2026-02-08 23:13:31 | INFO | pipeline_controller:run_step | Pipeline Controller: Starting step data_cleaning for 983e8da0-d48d-490f-85c2-1b5837992f1e
2026-02-08 23:13:31 | INFO | cleaning_service:run_cleaning | Starting cleaning pipeline for dataset 983e8da0-d48d-490f-85c2-1b5837992f1e. Task: regression
2026-02-08 23:13:31 | INFO | pipeline_controller:run_all | Executing eda...
2026-02-08 23:13:31 | INFO | pipeline_controller:run_step | Pipeline Controller: Starting step eda for 983e8da0-d48d-490f-85c2-1b5837992f1e
2026-02-08 23:13:32 | INFO | pipeline_controller:run_all | Executing statistics...
2026-02-08 23:13:32 | INFO | pipeline_controller:run_step | Pipeline Controller: Starting step statistics for 983e8da0-d48d-490f-85c2-1b5837992f1e
2026-02-08 23:13:32 | INFO | pipeline_controller:run_all | Executing modeling...
2026-02-08 23:13:32 | INFO | pipeline_controller:run_step | Pipeline Controller: Starting step modeling for 983e8da0-d48d-490f-85c2-1b5837992f1e
2026-02-08 23:13:32 | INFO | modeling_service:run_automl | Starting AutoML process for dataset 983e8da0-d48d-490f-85c2-1b5837992f1e (Mode: fast)
2026-02-08 23:13:35 | INFO | pipeline_controller:run_all | Executing explainability...
2026-02-08 23:13:35 | INFO | pipeline_controller:run_step | Pipeline Controller: Starting step explainability for 983e8da0-d48d-490f-85c2-1b5837992f1e
2026-02-08 23:13:36 | INFO | pipeline_controller:run_all | Executing decision...
2026-02-08 23:13:36 | INFO | pipeline_controller:run_step | Pipeline Controller: Starting step decision for 983e8da0-d48d-490f-85c2-1b5837992f1e
2026-02-08 23:13:36 | INFO | pipeline_controller:run_all | Executing report...
2026-02-08 23:13:36 | INFO | pipeline_controller:run_step | Pipeline Controller: Starting step report for 983e8da0-d48d-490f-85c2-1b5837992f1e
2026-02-08 23:16:10 | INFO | main:startup_event |  AnalytixAI Backend Started Successfully
2026-02-08 23:16:10 | INFO | main:startup_event |  AnalytixAI Backend Started Successfully
2026-02-08 23:16:10 | INFO | main:startup_event |  AnalytixAI Backend Started Successfully
2026-02-08 23:16:27 | INFO | main:startup_event |  AnalytixAI Backend Started Successfully
2026-02-08 23:16:27 | INFO | main:startup_event |  AnalytixAI Backend Started Successfully
2026-02-08 23:16:29 | INFO | main:startup_event |  AnalytixAI Backend Started Successfully
2026-02-08 23:16:37 | INFO | main:startup_event |  AnalytixAI Backend Started Successfully
2026-02-08 23:16:37 | INFO | main:startup_event |  AnalytixAI Backend Started Successfully
2026-02-08 23:16:38 | INFO | main:startup_event |  AnalytixAI Backend Started Successfully
2026-02-08 23:16:50 | INFO | main:startup_event |  AnalytixAI Backend Started Successfully
2026-02-08 23:16:51 | INFO | main:startup_event |  AnalytixAI Backend Started Successfully
2026-02-08 23:16:51 | INFO | main:startup_event |  AnalytixAI Backend Started Successfully
